%
% Comments go after a '%' sign.
%
%
% Relation: Exoplanets Candidates Kepler
%
%
% Attributes: 39     Instances: 956
%
%

@relation Exoplanets Candidates Kepler

@attribute 'DispositionScore' numeric
@attribute 'OrbitalPeriod[days' numeric
@attribute 'OrbitalPeriodUpperUnc.[days' numeric
@attribute 'OrbitalPeriodLowerUnc.[days' numeric
@attribute 'TransitEpoch[BKJD' numeric
@attribute 'TransitEpochUpperUnc.[BKJD' numeric
@attribute 'TransitEpochLowerUnc.[BKJD' numeric
@attribute 'ImpactParamete' numeric
@attribute 'ImpactParameterUpperUnc' numeric
@attribute 'ImpactParameterLowerUnc' numeric
@attribute 'TransitDuration[hrs' numeric
@attribute 'TransitDurationUpperUnc.[hrs' numeric
@attribute 'TransitDurationLowerUnc.[hrs' numeric
@attribute 'TransitDepth[ppm' numeric
@attribute 'TransitDepthUpperUnc.[ppm' numeric
@attribute 'TransitDepthLowerUnc.[ppm' numeric
@attribute 'PlanetaryRadius[Earthradii' numeric
@attribute 'PlanetaryRadiusUpperUnc.[Earthradii' numeric
@attribute 'PlanetaryRadiusLowerUnc.[Earthradii' numeric
@attribute 'EquilibriumTemperature[K' numeric
@attribute 'InsolationFlux[Earthflux' numeric
@attribute 'InsolationFluxUpperUnc.[Earthflux' numeric
@attribute 'InsolationFluxLowerUnc.[Earthflux' numeric
@attribute 'TransitSignal-to-Nois' numeric
@attribute 'TCEPlanetNumbe' numeric
@attribute 'StellarEffectiveTemperature[K' numeric
@attribute 'StellarEffectiveTemperatureUpperUnc.[K' numeric
@attribute 'StellarEffectiveTemperatureLowerUnc.[K' numeric
@attribute 'StellarSurfaceGravity[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityUpperUnc.[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityLowerUnc.[log10(cm/s**2)' numeric
@attribute 'StellarRadius[Solarradii' numeric
@attribute 'StellarRadiusUpperUnc.[Solarradii' numeric
@attribute 'StellarRadiusLowerUnc.[Solarradii' numeric
@attribute 'RA[decimaldegrees' numeric
@attribute 'Dec[decimaldegrees' numeric
@attribute 'Kepler-band[mag]' numeric
@attribute 'ExoplanetCandidate' numeric
@attribute 'ExoplanetConfirmed' numeric

@data
0.0,1.179969562,2.57e-07,-2.57e-07,133.381942,0.000177,-0.000177,1.244,0.422,-0.104,1.9745,0.0107,-0.0107,1110.0,4.9,-4.9,120.02,28.8,-43.2,2960.0,18136.88,11462.94,-11137.21,277.9,1.0,5500.0,83.0,-83.0,3.491,0.254,-0.117,3.899,0.935,-1.402,293.20209,40.170921,12.989,0,0
0.992,172.7046083,0.000475,-0.000475,236.92574,0.0019,-0.0019,0.004,0.383,-0.004,11.347,0.0738,-0.0738,659.0,8.0,-8.0,2.85,0.45,-0.44,355.0,3.77,1.65,-1.3,92.9,1.0,5851.0,105.0,-117.0,4.302,0.156,-0.104,1.116,0.175,-0.175,290.62524,44.873959,12.209,1,2
0.809,2.59488443,1.06e-05,-1.06e-05,132.75658,0.00365,-0.00365,0.885,0.08,-0.638,1.684,0.112,-0.112,592.0,46.4,-46.4,2.36,0.13,-0.24,1014.0,249.92,70.17,-72.49,14.9,1.0,4748.0,172.0,-153.0,4.526,0.071,-0.038,0.797,0.043,-0.08,301.4693,44.159649,15.72,1,1
0.989,11.1438086,0.000293,-0.000293,131.725,0.0201,-0.0201,0.629,0.041,-0.477,7.905,0.705,-0.705,41.7,4.6,-4.6,0.75,0.12,-0.08,906.0,159.1,72.79,-43.07,10.9,1.0,6095.0,122.0,-134.0,4.349,0.099,-0.121,1.11,0.178,-0.119,296.8432,43.697441,13.556,1,1
0.036,4.2742605,0.000121,-0.000121,133.0463,0.0255,-0.0255,0.089,0.349,-0.089,2.687,0.175,-0.175,264.0,26.5,-26.5,1.88,0.59,-0.25,1326.0,730.69,662.25,-263.64,11.4,2.0,6477.0,159.0,-250.0,4.361,0.087,-0.203,1.148,0.362,-0.155,283.06863,48.802078,14.496,1,1
1.0,4.15246118,1.58e-05,-1.58e-05,134.57991,0.00324,-0.00324,0.639,0.28,-0.448,2.5755,0.0901,-0.0901,223.0,9.9,-9.9,7.62,1.09,-2.55,1941.0,3354.56,1208.44,-2007.41,24.5,4.0,4941.0,49.0,-118.0,3.317,0.21,-0.105,4.885,0.701,-1.636,286.49042,38.374908,14.604,1,2
1.0,1.82708193,4.7e-07,-4.7e-07,170.52583,0.000206,-0.000206,0.033,0.239,-0.033,1.96401,0.00799,-0.00799,1160.0,5.0,-5.0,5.95,3.57,-3.56,1877.0,2925.17,5492.75,-2509.08,273.7,1.0,5311.0,159.0,-159.0,3.864,0.749,-0.321,1.769,1.06,-1.06,297.73639,49.63715,13.807,1,2
0.074,11.9283194,0.00032,-0.00032,142.127,0.023,-0.023,0.052,0.4,-0.052,6.69,0.684,-0.684,183.0,19.7,-19.7,0.98,0.1,-0.1,632.0,37.8,13.21,-11.03,10.6,1.0,5010.0,151.0,-151.0,4.545,0.071,-0.052,0.75,0.071,-0.079,290.64545,44.904202,15.577,0,0
0,0.66573903,0,0,131.6585795,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,289.52319,51.069191,13.362,0,0
1.0,6.47539108,2.11e-05,-2.11e-05,137.5825,0.00272,-0.00272,0.486,0.027,-0.443,2.7048,0.0816,-0.0816,531.0,20.8,-20.8,1.92,0.07,-0.15,793.0,93.41,13.94,-19.03,28.1,1.0,4954.0,79.0,-79.0,4.5,0.072,-0.023,0.828,0.032,-0.065,291.2431,44.00872,15.565,1,2
